Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Онищенко,Єлисавета,Павлівна,Жінка,1984-01-08,Ріелтор,місто Канів,"проспект Штурманська, буд. 989, Скалат, 98328",193 92 03,havrylozaiets@example.net
Стельмах,Віолетта,Федорівна,Жінка,1965-10-14,Шериф,селище Єнакієве,"провулок Деревообробний 2-й, буд. 89, Глобине, 75369",+380 29 002-64-25,ustym70@example.net
Ісаєвич,Володимир,Павлович,Чоловік,1977-04-21,Фермер,хутір Олевськ,"узвіз Лузанівський, буд. 73 кв. 8, Лозова, 41299",+380 32 144-01-76,petro90@example.net
Ємець,Хома,Дмитрович,Чоловік,2008-05-12,Стропальник,місто Христинівка,"парк Фруктовий, буд. 424 кв. 044, Бурштин, 80612",023 421 15 43,semenrudyk@example.org
Заїка,Демʼян,Олегович,Чоловік,2003-07-12,Бізнесмен,селище Стрий,"парк Вітчизняна, буд. 8, Новомиргород, 61972",+380 (60) 856-76-79,zatulaveniiamyn@example.org
Андрійович,Єлисавета,Павлівна,Жінка,1972-10-31,Економіст,місто Острог,"вулиця Левадна, буд. 1 кв. 82, Благовіщенське, 22240",003 107 92 12,milenahavrylenko@example.net
Ткаченко,Христина,Григорівна,Жінка,1991-04-05,Секретар,хутір Знам'янка,"сквер Дюківська, буд. 00 кв. 4, Рені, 45859",+380 95 009 51 43,sachenkoiryna@example.org
Деркач,Яків,Іванович,Чоловік,1993-09-13,Біолог,селище Кременчук,"сквер Умова, буд. 2, Харцизьк, 33448",+380 84 607-83-02,bkovalenko@example.org
Дейсун,Стефан,Ігорович,Чоловік,2003-08-14,Ріелтор,хутір Балта,"набережна Лиманчик 2-й Лінія 1-ша, буд. 6 кв. 27, Рожище, 35734",170-31-47,haidaiukhym@example.org
Заїка,Франц,Павлович,Чоловік,2004-08-12,Реставратор,селище Теребовля,"узвіз Шкодова гора, буд. 913 кв. 830, Баштанка, 74923",+380 50 677-19-89,arkadii17@example.org
Бабенко,Спас,Васильович,Чоловік,1997-04-27,Реабілітолог,селище Новоград-Волинський,"парк Любомира Гузара, буд. 26 кв. 04, Комарно, 55355",+380 51 583 39 47,faleksiichuk@example.com
Рудик,Богодар,Павлович,Чоловік,1951-07-04,Археолог,місто Сокиряни,"сквер Дюківська, буд. 8 кв. 184, Вилкове, 64743",+380 (35) 278-17-11,lupiililiia@example.org
Гречко,Миколай,Богданович,Чоловік,2006-01-04,Епідеміолог,місто Тальне,"набережна Восьмого березня, буд. 0, Канів, 84547",+380 14 181 42 12,vladyslav18@example.com
Масоха,Гаврило,Георгійович,Чоловік,1939-12-04,Професор,село Помічна,"набережна Лінійна, буд. 8, Глиняни, 89137",053 208 79 89,tetianafranko@example.com
Свириденко,Стефан,Васильович,Чоловік,1976-09-18,Археолог,хутір Жмеринка,"узвіз Лазурського, буд. 8 кв. 54, Баштанка, 06366",+380 26 786 82 43,hanna91@example.net
Деркач,Марина,Юріївна,Жінка,1973-10-02,Реставратор,місто Дрогобич,"проспект Маловського, буд. 216, Новоселиця, 20546",072-21-31,iarematokar@example.net
Масляк,Борис,Павлович,Чоловік,1950-12-25,Бухгалтер,місто Тетіїв,"вулиця Успенський, буд. 313 кв. 151, Верхньодніпровськ, 24206",+380 04 552-72-07,aleksiichukvladyslav@example.net
Гоголь-Яновський,Микита,Олегович,Чоловік,1968-02-09,Лікар,хутір Чорноморськ,"проспект Генерала Алмазова, буд. 15 кв. 163, Яремче, 14526",080-35-78,fisaienko@example.com
Данилюк,Макар,Олександрович,Чоловік,1940-01-04,Маркетолог,хутір Новоукраїнка,"площа Солонцюватий 1-й, буд. 032, Житомир, 75846",061 283-79-07,gchumachenko@example.net
Приходько,Богодар,Сергійович,Чоловік,1962-07-29,Клавішник,село Корець,"проспект Ольвійська, буд. 87, Обухів, 38024",+380 (38) 091-34-73,vira14@example.org
Жайворон,Кирило,Андрійович,Чоловік,1962-09-25,Гірничий інженер,село Вашківці,"проспект Кавказький, буд. 264 кв. 14, Косів, 98293",+380 (65) 409-71-57,heorhiinalyvaiko@example.net
Шведченко,Панас,Тимофійович,Чоловік,1985-03-03,Астроном,селище Золотоноша,"вулиця Заводська 2-га, буд. 044, Устилуг, 61559",026 68 26,huzenkonazar@example.org
Пушкар,Пантелеймон,Андрійович,Чоловік,2005-03-25,Фармацевт,хутір Снігурівка,"провулок Сім'ї Глодан, буд. 364, Світлодарськ, 88344",783-67-73,mfilipenko@example.com
Даценко,Едуард,Олександрович,Чоловік,2008-07-28,Водій,село Дунаївці,"площа Героїв прикордонників, буд. 45 кв. 08, Батурин, 82650",+380 92 799-23-46,gderkach@example.org
Гук,Юстина,Георгіївна,Жінка,1959-01-17,Акушер,хутір Новогродівка,"провулок Наявний 2-й, буд. 891, Копичинці, 75491",+380 (37) 069-10-86,sviatoslavtereshchenko@example.com
Якименко,Франц,Павлович,Чоловік,1965-05-08,Гірник,село Попасна,"шосе Аграрна, буд. 266, Щастя, 46640",+380 27 777 58 30,myroslav03@example.com
Гаврилишин,Петро,Богданович,Чоловік,1949-09-14,Будник,село Берислав,"вулиця Безіменний, буд. 9, Сквира, 53903",357-53-94,aizhak@example.org
Андрощук,Соломія,Василівна,Жінка,1988-07-18,Палеонтолог,місто Тульчин,"шосе Шостої 1-й, буд. 14, Святогірськ, 81709",050 007 85 90,nhohol@example.org
Непорожній,Теодор,Васильович,Чоловік,1954-06-03,Конструктор,місто Полтава,"шосе Лазурського, буд. 42, Українськ, 38454",190-99-34,zhalilomykhailyna@example.com
Алексеєнко,Одарка,Володимирівна,Жінка,1979-08-07,Мірошник,село Новгород-Сіверський,"провулок Новий, буд. 3, Сорокине, 24061",+380 24 516-40-69,oles79@example.com
Гузій,Андрій,Сергійович,Чоловік,1977-08-26,Географ,село Апостолове,"проспект Слави, буд. 333, Південне, 62977",051 913-74-43,evakhnii@example.org
Фоменко,Надія,Миколаївна,Жінка,1995-08-26,Різноробочий,село Берегове,"вулиця Травневий, буд. 52, Саки, 75806",+380 59 690-67-84,leonid60@example.com
Бандурка,Ілля,Максимович,Чоловік,1990-06-19,Епідеміолог,хутір Гайсин,"узвіз Горіхова, буд. 43 кв. 40, Конотоп, 45835",142 56 11,yvalenko@example.net
Самойленко,Кирило,Георгійович,Чоловік,1946-12-22,Фармацевт,хутір Хрестівка,"провулок Бахмутська, буд. 39 кв. 9, Іловайськ, 59836",+380 76 382-98-93,adamiakymchuk@example.com
Деряжний,Демʼян,Олегович,Чоловік,1964-09-30,Драматург,селище Єнакієве,"парк Абрикосовий, буд. 190 кв. 58, Бершадь, 85986",+380 28 704 63 13,azinchuk@example.com
Влох,Єва,Василівна,Жінка,2003-01-09,Живописець,хутір Дунаївці,"парк Тролейбусна, буд. 835 кв. 3, Яготин, 28535",996-68-13,iaremkomilena@example.net
Рудик,Олесь,Олександрович,Чоловік,1978-06-01,Вчитель,хутір Устилуг,"шосе Зоряна, буд. 6 кв. 25, Ладижин, 13896",507-15-34,fedirshutko@example.net
Гриценко,Климент,Андрійович,Чоловік,1995-09-29,Патологоанатом,місто Щолкіне,"узвіз Варненська, буд. 7, Звенигородка, 12294",+380 (05) 704-47-77,albina31@example.org
Вдовенко,Марта,Володимирівна,Жінка,2007-03-05,Мірошник,село Ізмаїл,"парк Олександра Юрженка, буд. 34, Ржищів, 92930",+380 (54) 486-88-18,hlib22@example.com
Радченко,Мирон,Миколайович,Чоловік,1975-07-04,Геолог,хутір Токмак,"узвіз Ганни Ахматової, буд. 0 кв. 7, Рубіжне, 53069",+380 78 368 70 82,banderahennadii@example.com
Гречко,Зиновій,Богданович,Чоловік,1942-06-07,Професор,місто Молочанськ,"узвіз Басейний 1-й, буд. 3 кв. 6, Вашківці, 65471",+380 (31) 546-54-96,opanasenkodanna@example.com
